request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_43,9800089.91,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000.00 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21,398,000.00 minimum."
request_44,34800.23,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800.00 in full on 2025-04-15. Paying earlier would take the balance below the INR 82,900.00 minimum."
request_45,3479864.31,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000.00 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800.00 minimum."
request_46,38528.61,affordable_with_plan,partial_payment,2024-12-03:38528.61|2024-12-15:10921.39,2024-12-15,none,"Pay INR 38,528.61 today and the remaining INR 10,921.39 on 2024-12-15. This completes the full request and keeps the INR 84,000.00 minimum protected."
request_47,38114000.00,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 30,049,000.00 available over the next 90 days."
request_48,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 71,300.00 minimum protected."
request_49,13948720.05,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700.00 available."
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700.00 available over the next 90 days."
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,22250.93,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870.00 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500.00 minimum."
request_53,546.60,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100.00 available."
request_54,2359.16,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,120452.74,affordable_later,wait,2026-08-15:218600,2026-08-15,none,"Although INR 120,452.74 is available today, the full amount cannot be completed safely within 90 days."
request_56,709.12,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,"Use 2 installments of USD 458.42, starting 2025-02-03. This leaves at least USD 2,100.00 available."
request_57,13381.56,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available over the next 90 days."
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600.00 available."
request_60,127.25,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400.00 minimum.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700.00 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_63,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 153,500.00 minimum protected."
request_64,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 36,100.00 minimum protected."
request_65,6850.35,not_affordable,not_recommended,none,2026-01-15,none,"Although ZAR 6,850.35 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available over the next 90 days."
request_67,375.76,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Pay USD 2,094.00 in full on 2024-09-15. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1498.69,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500.00 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,61223.63,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900.00 in full on 2025-01-15. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,11330.00,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200.00 available over the next 90 days."
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available over the next 90 days."
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 39,000.00 available."
request_76,796.01,not_affordable,not_recommended,none,,none,"None of the available options keeps the USD 1,800.00 minimum protected."
request_77,60700.00,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 today. This leaves at least INR 82,200.00 available over the next 90 days."
request_78,45224.53,not_affordable,not_recommended,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200.00 in full on 2025-10-15. Paying earlier would take the balance below the INR 55,200.00 minimum."
request_79,298.68,affordable_with_plan,partial_payment,2024-09-04:298.68|2024-10-15:1852.92,2024-10-15,none,"Pay EUR 298.68 today and the remaining EUR 1,852.92 on 2024-10-15. This completes the full request and keeps the EUR 1,000.00 minimum protected."
request_80,94774.87,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.00,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available over the next 90 days."
request_82,370.51,affordable_later,wait,2024-12-15:1405.20,2024-12-15,none,"Pay USD 1,405.20 in full on 2024-12-15. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_83,7980.28,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 37,800.00 minimum protected."
request_84,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 91,300.00 minimum protected."
request_85,723860.33,not_affordable,not_recommended,none,2024-05-15,none,"Although IDR 723,860.33 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.00,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,22769.25,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 185,900.00 minimum protected."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800.00 available."
request_89,9837163.72,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700.00 available."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,419.37,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100.00 minimum."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,572.00,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available over the next 90 days.
request_95,41286.64,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 145,500.00 minimum protected."
request_96,75288.36,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500.00 available."
request_97,3035.35,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700.00 available."
request_98,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 30,000.00 minimum protected."
request_99,17468.49,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the event_9188 expense, then pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available."
request_100,26619.97,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500.00 available."
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900.00 available."
request_103,6249.02,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 125,500.00 minimum protected."
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available over the next 90 days."
request_105,51751.56,not_affordable,not_recommended,2026-06-15:53500,2026-06-15,none,"Pay INR 53,500.00 in full on 2026-06-15. Paying earlier would take the balance below the INR 73,900.00 minimum."
request_106,539.70,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Pay EUR 2,207.70 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,2411.22,not_affordable,not_recommended,none,2025-07-15,none,"Although EUR 2,411.22 is available today, the full amount cannot be completed safely within 90 days."
request_108,2406.11,not_affordable,not_recommended,2026-09-15:55308,2026-09-15,none,"Pay ZAR 55,308.00 in full on 2026-09-15. Paying earlier would take the balance below the ZAR 24,100.00 minimum."
request_109,508.99,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700.00 available."
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200.00 available."
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available over the next 90 days.
request_113,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 82,300.00 minimum protected."
request_114,56453.16,not_affordable,not_recommended,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300.00 in full on 2026-01-15. Paying earlier would take the balance below the INR 113,400.00 minimum."
request_115,16811.83,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,13829.65,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 80,300.00 minimum protected."
request_117,877.97,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the event_10833 expense, then pay EUR 880.00 today. This leaves at least EUR 1,000.00 available."
request_118,650.54,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600.00 available."
request_119,65702.62,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18. This leaves at least INR 151,200.00 available."
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500.00 available."
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,1508.92,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600.00 available."
request_125,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 11,300.00 minimum protected."
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700.00 available over the next 90 days."
request_127,8795.26,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980.00 in full on 2024-10-15. Paying earlier would take the balance below the ZAR 41,000.00 minimum."
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,121.86,not_affordable,not_recommended,none,,none,None of the available options keeps the USD 800.00 minimum protected.
request_130,454.37,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 2025-01-15. Paying earlier would take the balance below the USD 1,400.00 minimum."
request_131,1380.07,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100.00 available."
request_132,289.61,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_133,5256571.89,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,4619405.02,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000.00 in full on 2025-08-15. Paying earlier would take the balance below the IDR 15,902,500.00 minimum."
request_135,286.75,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the event_12413 expense, then pay USD 304.80 today. This leaves at least USD 500.00 available."
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_137,29337.53,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100.00 in full on 2026-01-15. Paying earlier would take the balance below the INR 71,800.00 minimum."
request_138,791.42,affordable_with_plan,partial_payment,2026-04-07:791.42|2026-04-15:465.52,2026-04-15,none,"Pay EUR 791.42 today and the remaining EUR 465.52 on 2026-04-15. This completes the full request and keeps the EUR 2,300.00 minimum protected."
request_139,1311.65,affordable_later,wait,2024-09-15:2316,2024-09-15,none,"Although USD 1,311.65 is available today, the full amount cannot be completed safely within 90 days."
request_140,2526.68,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,20390.53,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available over the next 90 days."
request_143,3000.81,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584.00 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.00 available over the next 90 days.
request_145,32067.25,affordable_later,wait,2024-03-15:217400,2024-03-15,none,"Although INR 32,067.25 is available today, the full amount cannot be completed safely within 90 days."
request_146,18084.13,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Pay INR 449,400.00 in full on 2025-10-15. Paying earlier would take the balance below the INR 108,600.00 minimum."
request_147,491.44,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900.00 available."
request_148,8095.58,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000.00 available."
request_149,23584.00,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100.00 available."
request_150,271.36,affordable_later,wait,2026-03-15:496.10,2026-03-15,none,"Although EUR 271.36 is available today, the full amount cannot be completed safely within 90 days."
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,11551.56,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900.00 available."
request_153,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the USD 1,400.00 minimum protected."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300.00 available."
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 56,300.00 available over the next 90 days."
request_156,8746.29,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076.00 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26,900.00 minimum."
request_157,5295379.62,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000.00 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15,714,100.00 minimum."
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400.00 available."
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available over the next 90 days."
request_160,643.60,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200.00 available."
request_161,7831985.00,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000.00 in full on 2026-01-15. Paying earlier would take the balance below the IDR 23,010,400.00 minimum."
request_162,1366665.22,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,10155086.63,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This leaves at least IDR 26,728,700.00 available."
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 2025-02-11. This leaves at least IDR 29,550,500.00 available."
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available over the next 90 days."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700.00 available."
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,29612.21,affordable_with_plan,partial_payment,2026-01-07:29612.21|2026-01-15:19767.79,2026-01-15,none,"Pay INR 29,612.21 today and the remaining INR 19,767.79 on 2026-01-15. This completes the full request and keeps the INR 114,400.00 minimum protected."
request_169,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 18,700.00 minimum protected."
request_170,29760341.75,affordable_later,wait,2025-09-15:36936000,2025-09-15,none,"Although IDR 29,760,341.75 is available today, the full amount cannot be completed safely within 90 days."
request_171,39.24,not_affordable,not_recommended,none,,none,None of the available options keeps the EUR 500.00 minimum protected.
request_172,9612.34,affordable_with_plan,partial_payment,2024-06-05:9612.34|2024-06-15:587.66,2024-06-15,none,"Pay ZAR 9,612.34 today and the remaining ZAR 587.66 on 2024-06-15. This completes the full request and keeps the ZAR 27,200.00 minimum protected."
request_173,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 79,100.00 minimum protected."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700.00 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,372.14,not_affordable,not_recommended,none,,none,None of the available options keeps the EUR 600.00 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400.00 available."
request_179,6410807.94,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000.00 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800.00 minimum."
request_180,66500.00,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300.00 available over the next 90 days."
request_181,391.36,not_affordable,not_recommended,2024-05-15:5059.20,2024-05-15,none,"Pay USD 5,059.20 in full on 2024-05-15. Paying earlier would take the balance below the USD 2,000.00 minimum."
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available over the next 90 days."
request_183,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 11,878,300.00 minimum protected."
request_184,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 110,800.00 minimum protected."
request_185,361.61,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_186,4268.43,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554.00 in full on 2026-03-15. Paying earlier would take the balance below the ZAR 22,000.00 minimum."
request_187,44872.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Pay INR 187,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 128,300.00 minimum."
request_188,136.46,not_affordable,not_recommended,none,,none,None of the available options keeps the EUR 900.00 minimum protected.
